Asset,Department,Purpose,Algorithm,KeyLength,TLSVersion,DataLifeYears,Sensitivity,KeyStorage,Cloud,Status,RiskLevel,RiskScore,Recommendation,HarvestNowDecryptLater,FutureArchitecture
Internet Banking,IT,Customer Transactions,RSA,2048,TLS 1.2,20,High,HSM,No,Active,High,10,Replace with ML-KEM Hybrid,YES,Hybrid TLS (RSA + ML-KEM)
Mobile Banking,IT,Mobile Payments,ECC,384,TLS 1.2,15,High,HSM,No,Active,High,9,Replace with ML-KEM + ML-DSA,YES,Hybrid Signature (ECC + ML-DSA)
ATM Network,Operations,Retail Banking,RSA,2048,TLS 1.2,15,High,HSM,No,Active,High,10,Replace with ML-KEM Hybrid,YES,Hybrid TLS (RSA + ML-KEM)
Payment Gateway,Finance,Retail Payments,RSA,2048,TLS 1.2,25,High,HSM,Yes,Active,High,10,Replace with ML-KEM Hybrid,YES,Hybrid TLS (RSA + ML-KEM)
Employee Email,HR,Internal Communication,RSA,2048,TLS 1.2,7,Medium,Software Vault,Yes,Active,High,10,Replace with ML-KEM Hybrid,NO,Hybrid TLS (RSA + ML-KEM)
VPN Gateway,Security,Remote Access,RSA,2048,TLS 1.2,10,High,HSM,No,Active,High,10,Replace with ML-KEM Hybrid,YES,Hybrid TLS (RSA + ML-KEM)
Customer Database,Database,Customer Records,AES,256,,30,Critical,HSM,No,Active,Low,2,Continue using AES-256,NO,Continue AES-256
Backup Server,Infrastructure,Disaster Recovery,AES,256,,25,High,HSM,No,Active,Low,2,Continue using AES-256,NO,Continue AES-256
Cloud Storage,Cloud,Document Storage,AES,256,,20,High,Cloud KMS,Yes,Active,Low,2,Continue using AES-256,NO,Continue AES-256
Certificate Authority,Security,Digital Certificates,RSA,4096,,20,Critical,HSM,No,Active,High,10,Replace with ML-KEM Hybrid,YES,Hybrid TLS (RSA + ML-KEM)
Internal Portal,IT,Employee Services,ECC,384,TLS 1.2,8,Medium,Software Vault,No,Active,High,9,Replace with ML-KEM + ML-DSA,NO,Hybrid Signature (ECC + ML-DSA)
Document Management,Administration,Official Documents,RSA,2048,TLS 1.2,15,Medium,Software Vault,Yes,Active,High,10,Replace with ML-KEM Hybrid,YES,Hybrid TLS (RSA + ML-KEM)
Core Banking System,Banking,Financial Transactions,RSA,4096,TLS 1.2,30,Critical,HSM,No,Active,High,10,Replace with ML-KEM Hybrid,YES,Hybrid TLS (RSA + ML-KEM)
Fraud Detection Server,Security,Transaction Monitoring,AES,256,,10,High,HSM,Yes,Active,Low,2,Continue using AES-256,NO,Continue AES-256
Identity Management,Security,Authentication,ECC,384,TLS 1.2,20,Critical,HSM,No,Active,High,9,Replace with ML-KEM + ML-DSA,YES,Hybrid Signature (ECC + ML-DSA)
