Asset,Department,Purpose,Algorithm,KeyLength,TLSVersion,DataLifeYears,Sensitivity,KeyStorage,Cloud,Status,RiskLevel,RiskScore,Recommendation,HarvestNowDecryptLater,MigrationPriority,MigrationPhase,HybridDeployment,NISTAlignment,Timeline,SuccessMetric
Internet Banking,IT,Customer Transactions,RSA,2048,TLS 1.2,20,High,HSM,No,Active,High,10,Replace with ML-KEM Hybrid,YES,Priority 1,Phase 1 - Immediate Migration,RSA + ML-KEM,Transition to ML-KEM,0-6 Months,100% Migration
Mobile Banking,IT,Mobile Payments,ECC,384,TLS 1.2,15,High,HSM,No,Active,High,9,Replace with ML-KEM + ML-DSA,YES,Priority 1,Phase 1 - Immediate Migration,ECC + ML-DSA,Transition to ML-DSA,0-6 Months,100% Migration
ATM Network,Operations,Retail Banking,RSA,2048,TLS 1.2,15,High,HSM,No,Active,High,10,Replace with ML-KEM Hybrid,YES,Priority 1,Phase 1 - Immediate Migration,RSA + ML-KEM,Transition to ML-KEM,0-6 Months,100% Migration
Payment Gateway,Finance,Retail Payments,RSA,2048,TLS 1.2,25,High,HSM,Yes,Active,High,10,Replace with ML-KEM Hybrid,YES,Priority 1,Phase 1 - Immediate Migration,RSA + ML-KEM,Transition to ML-KEM,0-6 Months,100% Migration
Employee Email,HR,Internal Communication,RSA,2048,TLS 1.2,7,Medium,Software Vault,Yes,Active,High,10,Replace with ML-KEM Hybrid,NO,Priority 2,Phase 2 - Hybrid Deployment,RSA + ML-KEM,Transition to ML-KEM,6-12 Months,Hybrid Deployment Active
VPN Gateway,Security,Remote Access,RSA,2048,TLS 1.2,10,High,HSM,No,Active,High,10,Replace with ML-KEM Hybrid,YES,Priority 1,Phase 1 - Immediate Migration,RSA + ML-KEM,Transition to ML-KEM,0-6 Months,100% Migration
Customer Database,Database,Customer Records,AES,256,,30,Critical,HSM,No,Active,Low,2,Continue using AES-256,NO,Priority 3,Phase 3 - Planned Migration,AES-256,AES-256 Approved,12-24 Months,Pilot Completed
Backup Server,Infrastructure,Disaster Recovery,AES,256,,25,High,HSM,No,Active,Low,2,Continue using AES-256,NO,Priority 3,Phase 3 - Planned Migration,AES-256,AES-256 Approved,12-24 Months,Pilot Completed
Cloud Storage,Cloud,Document Storage,AES,256,,20,High,Cloud KMS,Yes,Active,Low,2,Continue using AES-256,NO,Priority 3,Phase 3 - Planned Migration,AES-256,AES-256 Approved,12-24 Months,Pilot Completed
Certificate Authority,Security,Digital Certificates,RSA,4096,,20,Critical,HSM,No,Active,High,10,Replace with ML-KEM Hybrid,YES,Priority 1,Phase 1 - Immediate Migration,RSA + ML-KEM,Transition to ML-KEM,0-6 Months,100% Migration
Internal Portal,IT,Employee Services,ECC,384,TLS 1.2,8,Medium,Software Vault,No,Active,High,9,Replace with ML-KEM + ML-DSA,NO,Priority 2,Phase 2 - Hybrid Deployment,ECC + ML-DSA,Transition to ML-DSA,6-12 Months,Hybrid Deployment Active
Document Management,Administration,Official Documents,RSA,2048,TLS 1.2,15,Medium,Software Vault,Yes,Active,High,10,Replace with ML-KEM Hybrid,YES,Priority 1,Phase 1 - Immediate Migration,RSA + ML-KEM,Transition to ML-KEM,0-6 Months,100% Migration
Core Banking System,Banking,Financial Transactions,RSA,4096,TLS 1.2,30,Critical,HSM,No,Active,High,10,Replace with ML-KEM Hybrid,YES,Priority 1,Phase 1 - Immediate Migration,RSA + ML-KEM,Transition to ML-KEM,0-6 Months,100% Migration
Fraud Detection Server,Security,Transaction Monitoring,AES,256,,10,High,HSM,Yes,Active,Low,2,Continue using AES-256,NO,Priority 3,Phase 3 - Planned Migration,AES-256,AES-256 Approved,12-24 Months,Pilot Completed
Identity Management,Security,Authentication,ECC,384,TLS 1.2,20,Critical,HSM,No,Active,High,9,Replace with ML-KEM + ML-DSA,YES,Priority 1,Phase 1 - Immediate Migration,ECC + ML-DSA,Transition to ML-DSA,0-6 Months,100% Migration
